"","Project-Id-Version: cinelerra 5.0\nReport-Msgid-Bugs-To: cinelerra@lists.cinelerra-cv.org\nPOT-Creation-Date: 2016-02-22 11:56+0100\nPO-Revision-Date: 2016-02-24 02:09+0100\nLast-Translator: Danny Schmarsel <danny@schmarsel.de>\nLanguage-Team: de <de@li.org>\nLanguage: de\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\nX-Generator: Poedit 1.8.6\n"
"BC_DisplayInfo::init_window: cannot open display ""%s"".\n","BC_DisplayInfo::init_window: kann Display ""%s"" nicht öffnen.\n"
"BC_DisplayInfo::init_window: cannot connect to X server.\n","BC_DisplayInfo::init_window: kann nicht zum X-Server verbinden.\n"
"Submit the file","Datei erstellen"
"Create new folder","Erstelle neuen Ordner"
"Progress","Fortschritt"
"Enter a new name for the file:","Geben Sie einen neuen Namen für die Datei ein:"
"%s: opengl initialization failed failed\n","%s: OpenGL-Initialisierung fehlgeschlagen fehlgeschlagen\n"
"BC_WindowBase::~BC_WindowBase window deleted but opengl deletion is not\nimplemented for BC_Pixmap.\n","BC_WindowBase::~BC_WindowBase Fenster entfernt aber OpenGL-Entfernung ist nicht\nfertiggestellt für BC_Pixmap.\n"
"Hex Samples","Hex-Samples"
"About:","Über:"
"cuts to %s complete\n","Schnitte zu %s komplett\n"
"Follow audio config","Folge Audio-Konfiguration"
"AModule::import_samples Couldn't open %s.\n","AModule::import_samples Konnte %s nicht öffnen.\n"
"Pan","Schwenk"
"Actual height:","Tatsächliche Höhe:"
"Match all","Alle anpassen"
": Remove assets",": Assets entfernen"
"Permanently remove from disk?","Unwiderruflich vom Datenträger löschen?"
"Paste asset on recordable tracks","Asset in aufnehmbare Spuren einfügen"
"Append asset in new tracks","Asset in neue Spuren anhängen"
"draw vicons","Vicons zeichnen"
"Done","Fertig"
"Exists","Besteht"
": Batch Render",": Batch-Rendern"
"Input EDL","EDL laden"
"Use Current EDL","Verw. akt. EDL"
"Save to EDL Path","Zum EDL-Pfad speichern"
"No EDL/Session","Keine EDL/Sitzung"
"No content: %s","Kein Inhalt: %s"
"create bd","BD erstellen"
"end setup, start batch render","Beende Setup, starte Batch-Render"
"disk space: ","Freier Speicher: "
"Resize Tracks","Spurgröße ändern"
"Chapters at Labels","Kapitel bei Label"
"Aspect 16x9","Seitenverhältnis 16x9"
": Create BD",": BD erstellen"
"tmp path:","tmp-Pfad:"
"BRender::set_video_map called to set NOT_SCANNED\n","BRender::set_video_map called to set NOT_SCANNED\n\n"
"match case","Case entsprechen"
"dbl clk row to find title","zur Titelfindung Reihe doppelklicken"
"sunmontuewedthufrisat","SOMODIMITDOFRSA"
"activate batch record when ok pressed","Batch-Aufnahme mit OK starten"
"poweroff system when batch record done","System nach Batch-Aufnahme herunterfahren"
"search event titles/info","Suche Ereignistitel/-info"
