"","Project-Id-Version: cinelerra 2.3\nReport-Msgid-Bugs-To: cinelerra@lists.cinelerra-cv.org\nPOT-Creation-Date: 2016-02-08 23:15-0500\nPO-Revision-Date: 2016-02-08 23:23-0500\nLast-Translator: Nicola Ferralis <feranick@hotmail.com>\nLanguage-Team: feranick@hotmail.com\nLanguage: it_IT\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n"
"Quicktime version %d.%d.%d (%s)\nLibmpeg3 version %d.%d.%d\n","Versione Quicktime  %d.%d.%d (%s)\nVersione Libmpeg3  %d.%d.%d\n"
"This program is free software; you can redistribute it and/or modify it under the terms\nof the GNU General Public License as published by the Free Software Foundation; either version\n2 of the License, or (at your option) any later version.\n\nThis program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY;\nwithout even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR\nPURPOSE.  See the GNU General Public License for more details.\n\n","Questo programma è software libero; potete ridistribuirlo e/o modificarlo nei termini\ndalla Licenza Pubblica Generale GNU pubblicata dalla  Free Software Foundation; sia la versione\n 2 da Licenza che  (a vostra discrezione) qualunque sua versione precedente.\n\nQuesto programma è distribuito con la speranza\nche possa essere utile,ma SENZA ALCUNA GARANZIA;\nanche senza nessuna garanzia COMMERCIALE o ADEGUAMENTO PER PARTICOLARI PROPOSITI\nConsultate la Licenza Pubblica Generale GNU per maggiori dettagli.\n\n"
"Device path:","Percorso perif.:"
"Device:","Periferica:"
"Stop playback locks up.","Ferma ricerca riproduzione."
"Port:","Porta:"
"Device Path:","Percorso Periferica:"
"Channel:","Canale:"
"Syt Offset:","Registra Syt:"
"VirtualAConsole::load_track Couldn't open %s.\n","VirtualAConsole::load_track Non posso aprire %s.\n"
"fade","sfuma"
"pan","filtro"
"Select a file for this asset:","File per questo elemento:"
"File format:","Formato file:"
"Compression:","Compressione:"
"Channels:","Canali:"
"Sample rate:","Campiona:"
"Header length:","Lunghezza intestazione:"
"Byte order:","Ordine Byte:"
"Values are unsigned","Valori deselezionati"
"Values are signed","Valori selezionati"
"Frame rate:","Fotogrammi al secondo:"
"Width:","Larghezza:"
"Height:","Altezza:"
"Subtitle tracks:","Traccie sottotitoli:"
"Fix interlacing:","Aggiusta Interlaccio:"
"Asset's interlacing:","Migliora interlaccio"
"Interlace correction:","Correzione Interlaccio:"
"Reel Name:","Nome nastro:"
"Reel Number:","Numero nastro:"
"Time Code Start:","Inizio Esecuzione:"
"Automatically Fix Interlacing","Auto-Aggiusta Interlaccio"
" Path"," Percorso"
"Select a file","Seleziona un file"
"Rebuild index","Riscostruire l'indice"
"Sort items","Ordinare elementi"
"View","Visualizza"
"Paste","Incolla"
"Match project size","Eguaglia dimensione progetto"
"Match frame rate","Eguaglia frame rate:"
"Remove from project","Rimuovi dal progetto"
"Remove from disk","Rimuovi dal disco"
"Permanently remove from disk?","Rimuovere per sempre dal disco?"
"Audio %d","Audio %d "
"Rewind ( Home )","Riavvolgi ( Home )"
"Fast Reverse ( + )","Riavvolgi Veloce ( + )"
"Reverse Play ( 6 )","Riproduzione Inversa ( 6 )"
"Stop ( 0 )","Ferma ( 0 )"
"Play ( 3 )","Riproduci ( 3 )"
"Pause","Pausa"
"Fast Forward ( Enter )","Avvolgi Veloce ( Invio )"
"Jump to end ( End )","Vai alla fine ( Fine )"
"Title","Titolo"
"Comments","Commenti"
"Time Stamps","Tempo in Sovraimpressione"
"New bin","Nuovo Binario"
"Delete bin","Cancella binario"
"Rename bin","Rinomina binario"
"Delete asset from disk","Cancella l'elemento dal disco"
"Delete asset from project","Cancella elemento dal progetto"
"Edit information on asset","Edita le informazioni sull'elemento"
"Redraw index","Ridisegna Indice"
"Paste asset on recordable tracks","Incolla l'elemento su traccia registrazione"
"Append asset in new tracks","Aggiungi questo elemento alla traccia"
"View asset","Visualizza Elemento"
"Edit...","Modifica..."
"Display icons","Visualizza Icone"
"Display text","Mostra testo"
"Open","Aperto"
"File exists","il File esiste"
"Untimed","Senza contatore"
"Timed","Con contatore"
"Unknown","Sconosciuto"
"Enabled","Abilitato"
"Output","Uscita"
"EDL","EDL "
"Elapsed","Trascorso"
"Batch Render...","Elaborazione Batch..."
"EDL %s not found.\n","EDL %s non trovato.\n"
"Output path:","Percorso d'uscita:"
"EDL Path:","Percorso EDL:"
"Input EDL","Ingresso EDL"
"Select an EDL to load:","Seleziona EDL da caricare:"
"Batches to render:","Batch da Elaborare:"
"Stop","Ferma"
"Close","Chiudi"
"New","Nuovo"
"Delete","Cancella"
"Save List","Salva come..."
"Save a Batch Render List","Salvo lista elaborazione Batch..."
"Save Batch Render List","Salva lista elaborazione Batch"
"Enter a Batch Render filename to save as:","Inserire un nome per il file della lista elaborazione:"
"Load List","Carica file..."
"Load a previously saved Batch Render List","Carica un salvataggio di lista di Elaborazione Batch"
"Load Batch Render List","Elaborazione Batch..."
"Enter a Batch Render filename to load from:","Carica un file di elaborazione Batch:"
"Start","Avvio"
"BRender::fork_background: can't open /proc/self/cmdline.\n","BRender::fork_background: non posso aprire /proc/self/cmdline.\n"
"BRender::set_video_map called to set NOT_SCANNED\n","BRender::set_video_map chiamata impostata su NOT_SCANNED\n"
"BRender::set_video_map %jd: attempt to set beyond end of map %jd.\n","BRender::set_video_map %d: tentativo di impostazione oltre la mappa %d.\n"
"Look for file","Cerca file"
"Windowed","Finestra"
"Zoom 25%","Zoom 25% "
"Zoom 33%","Zoom 33% "
"Zoom 50%","Zoom 50% "
"Zoom 75%","Zoom 75% "
"Zoom 100%","Zoom 100% "
"Zoom 150%","Zoom 150% "
"Zoom 200%","Zoom 200% "
"Zoom 300%","Zoom 300% "
"Zoom 400%","Zoom 400% "
"Zoom Auto","Zoom auto"
"Reset camera","Reimposta telecamera"
"Reset projector","Reimposta proiettore"
"Reset translation","Reimposta traslazione"
"Show controls","Mostra controlli"
"Hide controls","Nascondi Controlli"
"Fullscreen","Pienoschermo"
"Close source","Chiudi sorgente"
"NTSC_BCAST","NTSC_BCAST "
"NTSC_CABLE","NTSC_CABLE "
"NTSC_HRC","NTSC_HRC "
"NTSC_BCAST_JP","NTSC_BCAST_JP "
"NTSC_CABLE_JP","NTSC_CABLE_JP "
"PAL_AUSTRALIA","PAL_AUSTRALIA "
"PAL_EUROPE","PAL_EUROPA"
"PAL_E_EUROPE","PAL_E_EUROPA"
"PAL_ITALY","PAL_ITALIA"
"None","Nessuno"
"Select","Seleziona"
"Add...","Aggiungi..."
"Move up","Muovi su"
"Move down","Muovi giù"
"Sort","Scegli"
"Scan","Scansiona"
"Picture...","Immagine..."
"Set parameters for channel scanning.","Imposta i parametri scansione canali."
"Frequency table:","Tabella frequenze:"
"Input:","Inserire:"
"Title:","Titolo:"
"Brightness:","Luminosità:"
"Contrast:","Contrasto:"
"Color:","Colore:"
"Hue:","Saturazione:"
"Whiteness:","Luminosità:"
"Channel","Canale"
"Edit channels","Modifica Canali"
"A clip with that name already exists.","Uno spezzone con questo nome esiste"
"Comments:","Commenti:"
"( Answering No will destroy changes )","( Rispondendo No perderai i cambiamenti )"
"Yes","Si"
"No","No "
"Cancel","Cancella"
"The following files exist.  Overwrite them?","Il File Esiste. Sovrascriverlo?"
"Protect video from changes","Proteggere il video dai cambiamenti"
"Edit mask","Edita Maschera"
"Ruler","Righello"
"Zoom view","Visualizza Zoom"
"Adjust camera automation","Aggiustamento automatico della telecamera"
"Adjust projector automation","Aggiustamento automatico del proiettore"
"Crop a layer or output","Taglia livello o uscita"
"Get color","Prendi colore"
"Show tool info","Mostra informazioni sul tool"
"Show safe regions","Mostra regioni sicure"
"insert assets","inserire elementi"
"mask point","punto della maschera"
"camera","telecamera"
"projector","proiettore"
"Do it","Fallo"
"""smooth"" Tangent on current Camera Keyframes","""smussato"" Tangent sull'attuale fotogramma (Camera)"
"""linear"" Tangent on current Camera Keyframes","""lineare"" Tangent sull'attuale fotogramma (Camera)"
"""smooth"" Tangent on current Projector Keyframes","""smussato"" Tangent sull'attuale fotogramma (Proiettore)"
"""linear"" Tangent on current Projector Keyframes","""lineare"" Tangent sull'attuale fotogramma (Proiettore)"
"Left justify","Giustificare a sinistra"
"Center horizontal","Centro Orizzontale"
"Right justify","Giustifica a destra"
"Top justify","Giustifica in alto"
"Center vertical","Centra Verticale"
"Bottom justify","Giustifica in basso"
"Multiply alpha","Incrementa alpha"
"Subtract alpha","Sottrai alpha"
"Cycle next","Prossimo ciclo"
"Cycle prev","Ciclo prec"
"Apply mask before plugins","Applica maschera sotto i plugin"
"Mode:","Modo:"
"Value:","Valore:"
"Mask number:","Numero maschera:"
"Feather:","Nervatura:"
"Current:","Attuale:"
"Point 1:","Punto 1:"
"Point 2:","Punto 2:"
"Distance:","Distanza:"
"Angle:","Angolo:"
"Press Ctrl to lock ruler to the\nnearest 45%c angle.","Premi Ctrl per bloccare il righello\nall'angolo di 45%c piu' vicino"
"Press Alt to translate the ruler.","Premi Alt per tradurre il righello"
"DC Offset","Regola DC"
"Delete existing indexes","Cancellare gli indici esistenti"
"Delete all indexes in %s?","Cancellare tutti gli indici in %s?"
"In point ( [ )","Punto ingresso ( [ )"
"Out point ( ] )","Punto uscita( ] )"
"Next label ( ctrl -> )","Prossima etichetta ( ctrl -> )"
"Previous label ( ctrl <- )","Etichetta precedente ( ctrl <-)"
"Lift","Eleva"
"Overwrite ( b )","Sovrascrivere ( b )"
"Extract","Estrarre"
"To clip ( i )","Allo spezzone ( i )"
"Manual goto ( g )","Salto manuale ( g )"
"Splice ( v )","dividere ( v )"
"Cut ( x )","Taglia ( x )"
"Copy ( c )","Copia ( c )"
"Append to end of track","Aggiungi alla fine della traccia"
"Insert before beginning of track","Inserire all'inizio della traccia"
"Paste ( v )","Incolla ( v )"
"Set transition","Imposta transizione"
"Set presentation up to current position","Imposta presentazione sulla posizione attuale"
"Undo ( z )","Annulla ( z )"
"Redo ( shift Z )","Ripeti ( shift Z )"
"Toggle label at current position ( l )","Inserire etichetta nella posizione attuale ( 1 )"
"Fit selection to display ( f )","Selezione sul display( f )"
"Fit all autos to display ( Alt + f )","auto aggiusta display (Alt + f)"
"Drag and drop editing mode","Modifica in modalità ""Sposta e Aggiungi"""
"Cut and paste editing mode","Modifica in modalità ""taglia e incolla"""
"Generate keyframes while tweeking","Genera i fotogrammi chiave al volo"
"Lock labels from moving","Blocca movimento etichette"
"Attach effect...","Aggiungi effetto..."
"Resize track...","Ridim. traccia..."
"Match output size","Aggiusta dim uscita"
"Delete track","Cancella traccia"
"Add track","Aggiungi traccia"
"User title...","Titolo Utente..."
"User title","Titolo Utente"
"Warning: chopping the reel name to eight characters!\n","Attenzione: Il nome della bobina è limitato a 8 caratteri!\n"
"Export EDL...","Esporta EDL..."
"Track name","Traccia nome"
"Select a file to export to:","Seleziona un file registrazione per:"
"Output to file","File d'uscita"
"Select a file to write to:","Scegli file su cui scrivere:"
"Select track to be exported:","Seleziona traccia da esportare:"
"Currently only CMX 3600 format is supported","Attualmente è supportato il solo formato CMX 3600"
"This format doesn't support audio.","Questo formato non supporta l'audio."
"This format doesn't support video.","Questo formato non supporta video."
"Quicktime for Linux","Quicktime per Linux"
"Unknown sound","Sonoro sconosciuto"
"TGA Sequence","Sequenza TGA"
"TIFF Sequence","Sequenza TIFF"
"EXR Sequence","Sequenza EXR"
"8 Bit Linear","8 Bit Lineari"
"16 Bit Linear","16 Bit Lineari"
"24 Bit Linear","24 Bit Lineari"
"32 Bit Linear","32 Bit Lineari"
"Float","Fluttante"
"Compressor: 16 bit PCM","Compressore: 16 bit PCM"
"Attributes:","Attributi:"
"Compressor: Consumer DV","Compressore: Consumer DV"
"Assuming raw PCM:","Assumo raw PCM:"
"Quality:","Qualità:"
"Dual H.264","H.264 Duale"
"Dual MPEG-4","MPEG-4 Duale"
"PNG with Alpha","PNG con Alpha"
"Uncompressed RGB","RGB non compresso"
"Uncompressed RGBA","RGBA non compresso"
"YUV 4:2:0 Planar","YUV 4:2:0 Planare"
"Component Y'CbCr 8-bit 4:2:2 (yuv2)","Componente Y'CbCr 8-bit 4:2:2 (yuv2)"
"Component Y'CbCr 8-bit 4:2:2 (2vuy)","Componente Y'CbCr 8-bit 4:2:2 (2vuy)"
"YUV 4:1:1 Packed","YUV 4:1:1 Compresso"
"Component Y'CbCr 8-bit 4:4:4","Componente Y'CbCr 8-bit 4:4:4"
"Component Y'CbCrA 8-bit 4:4:4:4","Componente Y'CbCrA 8-bit 4:4:4:4"
"Component Y'CbCr 10-bit 4:4:4","Componente Y'CbCr 10-bit 4:4:4"
"JPEG Photo","Foto JPEG"
"Twos complement","Coppia complementare"
"Unsigned","Non firmato"
"MPEG-4 Audio","MPEG Audio"
"Made with Cinelerra for Linux","Creato con Cinelerra per Linux"
"Bits per channel:","Bit per canale:"
"Dither","Tremolio"
"Variable bitrate","Bitrate variabile"
"Avg bitrate:","Bitrate medio:"
"Quantization Quality (%):","Quantizzazione Qualità (%):"
"Quantization:","Quantizzazione:"
"Bitrate tolerance:","Tolleranza bitrate:"
"Interlaced","Interlacciato"
"Keyframe interval:","Intervallo di fotogrammi chiave"
"Quantizer:","Quantizzazione:"
"RC Period:","Periodo RC:"
"Reaction Ratio:","Varia Reazione:"
"Reaction Period:","Durata reazione:"
"Max Key Interval:","Intervallo massimo fra chiavi:"
"Max Quantizer:","Max Quantizzazione:"
"Min Quantizer:","Min Quantizzazione:"
"Fix bitrate","Aggiusta bitrate"
"Fix quantization","Aggiusta quantizzazione"
"encode: lame_init_params returned %d\n","Codifica: lame_init_params restituisce %d\n"
"No options for MPEG transport stream.","Nessuna opzione per stream MPEG."
"Layer:","Livello:"
"Kbits per second:","Kbits per secondo"
"Color model:","Formato colore:"
"Format Preset:","Formato Predefinito:"
"Derivative:","Derivativo:"
"I frame distance:","Distanza fotogrammi I:"
"P frame distance:","distanza fotogrammi P:"
"Bottom field first","Area inferiore prima"
"Progressive frames","Fotogrammi progressivi"
"Denoise","Elimina Disturbo"
"Sequence start codes in every GOP","La sequenza avvia i codici in ogni GOP"
"Generic MPEG-1","MPEG-1 Generico"
"standard VCD","VCD standard"
"user VCD","VCD utente"
"Generic MPEG-2","MPEG-2 Generico"
"standard SVCD","SVCD standard"
"user SVCD","SVCD utente"
"VCD Still sequence","Sequenza in pausa VCD"
"SVCD Still sequence","Sequenza in pausa SVCD"
"Fixed bitrate","Bitrate ottimizzato"
"Fixed quantization","Ottimizza quantizzazione"
"Use alpha","Usa alpha"
"Signed","Firmato"
"RGB compressed","RGB compresso"
"RGBA compressed","RGBA compresso"
"RGB uncompressed","RGB non compresso"
"RGBA uncompressed","RGBA non compresso"
"Output Path:","Percorso d'uscita:"
"Use Pipe:","Usa Pipe:"
"Stream Header:","Testata Trasmissione:"
"Interlacing:","Interlaccio:"
"Pipe Presets:","Preselezioni Pipe:"
"The format you selected doesn't support video.","Il formato scelto non supporta il video."
"The format you selected doesn't support audio.","Il formato scelto non supporta l'audio"
"IMA4 compression is only available in Quicktime movies.","La compressione IMA4 è disponibile solo nei video Quicktime."
"ULAW compression is only available in\nQuicktime Movies and PCM files.","La compressione ULAW è disponibile solo\nper Video Quicktime e file PCM."
"Change file format","Cambia il formato del file"
"User Defined","Personalizzazione"
"Presets:","Preselezioni:"
"File Format:","Formato file:"
"MPEG transport stream","Trasporto stream MPEG"
"Configure audio compression","Configura compressione audio"
"Configure video compression","Configura compressione video"
"Record audio tracks","Registra tracce audio"
"Render audio tracks","Elabora tracce audio"
"Record video tracks","Registra tracce video"
"Render video tracks","Elabora tracce video"
"Overwrite project with output","Sovrascrivi il progetto con l'uscita"
"Create new file at each label","Crea nuovo file ad ogni etichetta"
"Creating %s.","Creazione di %s in corso."
"IndexFile::draw_index: index has 0 zoom\n","IndexFile::draw_index: index con zoom 0\n"
