"","Project-Id-Version: Cinelerra CV\nReport-Msgid-Bugs-To: cinelerra@lists.cinelerra-cv.org\nPOT-Creation-Date: 2014-07-14 12:39-0400\nPO-Revision-Date: 2014-05-30 06:25+0000\nLast-Translator: Petter Reinholdtsen <pere@hungry.com>\nLanguage-Team: Norwegian Bokmål <i18n-no@lister.ping.uio.no>\nLanguage: nb\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\nPlural-Forms: nplurals=2; plural=(n != 1);\n"
"This program is free software; you can redistribute it and/or modify it under the terms\nof the GNU General Public License as published by the Free Software Foundation; either version\n2 of the License, or (at your option) any later version.\n\nThis program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY;\nwithout even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR\nPURPOSE.  See the GNU General Public License for more details.\n\n","Dette programmet er fri programvare; du kan spre det videre og/eller endre det under vilkårene\ni GNU General Public License, slik den er offentliggjort av Free Software Foundation; enten versjon\n2 av lisensen, eller (som du velger selv) en hver senere versjon.\n\nDette programmet er distribuert i håp om at det vil være nyttig, men UTEN NOEN GARANTI;\nselv uten den innforståtte garantien om ""MERCHANTABILITY"" (""salgbarhet""?) eller egnethet for et bestemt formål.\nSe GNU General Public License for detaljer.\n\n"
"Device path:","Sti til enheten: "
"Device:","Enhet: "
"Server:","Tjener:"
"Device Path:","Sti til enhet:"
"Channel:","Kanal:"
"File format:","Filformat:"
"Bytes:","Byter:"
"Bitrate (bits/sec):","Bitrate (bits/sek):"
"Audio:","Lyd:"
"Compression:","Kompresjon:"
"Channels:","Kanaler:"
"Sample rate:","Samplerate: "
"Byte order:","Byterekkefølge:"
"Values are unsigned","Verdier er uten fortegn"
"Values are signed","Verdier har fortegn"
"Frame rate:","Bildefrekvens:"
"Width:","Bredde:"
"Height:","Høyde:"
"Reel Name:","Spolenavn:"
"Reel Number:","Spolenummer:"
"Time Code Start:","Tidskodestart:"
" Path","Sti"
"Select a file","Velg en fil"
"Rebuild index","Bygg indeks påny"
"Sort items","Sort elementer"
"View","Vis"
"Paste","Lim inn"
"Remove from project","Fjern fra prosjekt"
"Remove from disk","Fjern fra disk"
"Permanently remove from disk?","Vil du slette dette fra disken?"
"Audio %d","Lyd %d"
"Rewind ( Home )","Spol tilbake ( Hjem )"
"Stop ( 0 )","Stopp ( 0 )"
"Play ( 3 )","Spill ( 3 )"
"Jump to end ( End )","Hopp til slutten ( End )"
"Title","Tittel"
"Comments","Kommentarer"
"Time Stamps","Tidsstempel"
"Delete asset from disk","Slett åndsverket fra disken"
"Delete asset from project","Slett åndsverket fra prosjektet"
"Edit information on asset","Rediger info om åndsverk"
"Redraw index","Tegn indeks på nytt"
"Append asset in new tracks","Legg til åndsverk i nye spor"
"View asset","Se på åndsverk"
"Edit...","Rediger..."
"Display icons","Vis ikoner"
"Display text","Vis tekst"
"Open","Åpne"
"File exists","Fil eksisterer"
"Unknown","Ukjent"
"Enabled","Slått på"
"Stop","Stopp"
"Close","Lukk"
"New","Ny"
"Delete","Slett"
"Save List","Lagre liste"
"Load List","Last liste"
"Look for file","Se etter fil"
"Reset camera","Nullstill kamera"
"Reset projector","Nullstill fremviser"
"Reset translation","Nullstill oversettelse"
"Show controls","Vis kontrollere"
"Hide controls","Skjul kontrollere"
"Fullscreen","Fullskjerm"
"Close source","Lukk kilde"
"None","Ingen"
"Select","Velg"
"Add...","Legg til..."
"Move up","Flytt opp"
"Move down","Flytt ned"
"Sort","Sorter"
"Scan","Søk"
"Picture...","Bilde..."
"Frequency table:","Frekvenstabell:"
"Title:","Tittel:"
"Brightness:","Lysstyrke:"
"Contrast:","Kontrast:"
"Color:","Farge:"
"Hue:","Glød:"
"Whiteness:","Hvithet:"
"Channel","Kanal"
"Edit channels","Rediger kanaler"
"A clip with that name already exists.","Et klipp med det navnet eksisterer allerede."
"Comments:","Kommentarer:"
